PERÍODO,EMPRESA,LOCALIDAD,PROVINCIA,INSUMO,"CUPO TOTAL ASIGNADO ","PRODUCCIÓN ","VENTAS TOTALES ","PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA (antes AXION ENERGY ARGENTINA S.A.)","PETROBRAS ARGENTINA S.A.","FOX PETROL S.A.","REFINERÍA DEL NORTE S.A.","SHELL ARGENTINA C.A.P.S.A.","YPF S.A.","ENERGÍA Y DERIVADOS DEL PETRÓLEO S.A.","OIL COMBUSTIBLES S.A.","TRAFIGURA ARGENTINA S.A.","REFI PAMPA S.A."
2012/04/01,"BIO SAN ISIDRO S.A.","CAMPO SANTO",SALTA,"CAÑA DE AZÚCAR",300,0,"654,2514213518637",0,0,0,0,0,"654,25",0,0,0,0
2012/04/01,"BIOENERGÍA LA CORONA S.A.",CONCEPCIÓN,TUCUMÁN,"CAÑA DE AZÚCAR",670,0,"672,8616550852812",0,0,0,0,0,"672,86",0,0,0,0
2012/04/01,"BIOENERGÍA SANTA ROSA S.A.","LEÓN ROUGES",TUCUMÁN,"CAÑA DE AZÚCAR",1200,0,"1104,8894504106127","729,63","375,26",0,0,0,0,0,0,0,0
2012/04/01,"BIOLEDESMA S.A.",LEDESMA,JUJUY,"CAÑA DE AZÚCAR",4083,"3928,5660138976627","4165,015792798484","505,99",0,0,0,"837,98","2122,58","69,91","628,55",0,0
2012/04/01,"BIOTRINIDAD S.A.","VILLA LA TRINIDAD",TUCUMÁN,"CAÑA DE AZÚCAR",1400,0,"1147,9469361970941",0,0,0,0,0,"1147,95",0,0,0,0
2012/04/01,"COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.","LA FLORIDA",TUCUMÁN,"CAÑA DE AZÚCAR",3000,"2318,2438408085914","2246,1149715729625","104,55",0,0,"476,11",0,"1479,68",0,"185,77",0,0
2012/04/01,"ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.",AGUILARES,TUCUMÁN,"CAÑA DE AZÚCAR",2090,"1778,9008212255212","1897,662665824384","1154,77",0,0,0,"481,36",0,0,"261,53",0,0
2012/04/01,"RÍO GRANDE ENERGÍA S.A.","LA MENDIETA",JUJUY,"CAÑA DE AZÚCAR",800,0,"855,5906506632977",0,0,0,0,"292,58","563,01",0,0,0,0
2012/05/01,"ALCONOA S.R.L.","EL TABACAL",SALTA,"CAÑA DE AZÚCAR",3500,"2408,9955780164246","3576,993051168667",301,0,0,0,1407,1869,0,0,0,0
2012/05/01,"BIO SAN ISIDRO S.A.","CAMPO SANTO",SALTA,"CAÑA DE AZÚCAR",300,0,0,0,0,0,0,0,0,0,0,0,0
2012/05/01,"BIOENERGÍA LA CORONA S.A.",CONCEPCIÓN,TUCUMÁN,"CAÑA DE AZÚCAR",670,0,"699,3051168667088",0,0,0,0,0,"699,3",0,0,0,0
2012/05/01,"BIOENERGÍA SANTA ROSA S.A.","LEÓN ROUGES",TUCUMÁN,"CAÑA DE AZÚCAR",1200,"134,23878711307643","1282,804801010739","723,65","559,15",0,0,0,0,0,0,0,0
2012/05/01,"BIOLEDESMA S.A.",LEDESMA,JUJUY,"CAÑA DE AZÚCAR",4083,"3636,3739734680985","4093,3543903979785","622,53",0,0,0,"693,48","2115,99","139,1","522,25",0,0
2012/05/01,"BIOTRINIDAD S.A.","VILLA LA TRINIDAD",TUCUMÁN,"CAÑA DE AZÚCAR",1400,"252,50789639924196","291,6487681617183",0,0,0,0,0,"291,66",0,0,0,0
2012/05/01,"COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.","LA FLORIDA",TUCUMÁN,"CAÑA DE AZÚCAR",2000,"1214,516740366393","1213,5944409349336",0,"36,09",0,"417,34",0,"721,84",0,"38,32",0,0
2012/05/01,"ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.",AGUILARES,TUCUMÁN,"CAÑA DE AZÚCAR",2090,"2063,1711939355655","2008,843967150979","1197,72",0,0,0,"590,02",0,0,"221,1",0,0
2012/05/01,"RÍO GRANDE ENERGÍA S.A.","LA MENDIETA",JUJUY,"CAÑA DE AZÚCAR",800,0,"778,1680353758686",0,0,0,0,"293,37","484,8",0,0,0,0
2012/06/01,"ALCONOA S.R.L.","EL TABACAL",SALTA,"CAÑA DE AZÚCAR",4250,"6013,00063171194","3732,0025268477575",225,0,0,0,1835,1672,0,0,0,0
2012/06/01,"BIO SAN ISIDRO S.A.","CAMPO SANTO",SALTA,"CAÑA DE AZÚCAR",300,0,"76,68982943777638",0,0,0,0,0,"76,69",0,0,0,0
2012/06/01,"BIOENERGÍA LA CORONA S.A.",CONCEPCIÓN,TUCUMÁN,"CAÑA DE AZÚCAR",670,1300,"1137,6626658243842",0,0,0,0,0,1138,0,0,0,0
